stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_cone_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
72hpf,0.56,0.28,0.56,0,0,0,0,0,0.56,0.85,0,0.28,0.28,0,4.51,3.66,0,0.28,0.28,0
21Day,1.48,0,3.33,0.37,0,0.37,0,0.74,0.37,0.37,0,1.85,0,0,4.44,3.33,0.37,2.22,0.37,0.37
3Month,0,0,0.31,0,0.1,0,0,0,0,0.31,0.1,0,0,0.1,0,0,0,0,0,0
22Month,0,0.14,0,0,0,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0
