stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0.28,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0.74,1.11,0.37,0.37,0.37,0.74,0,0,0.37,0.37
3Month,0,0,1.56,0,0.42,0,0,0.62,0.1,1.04,0.1,0.31,0.21,0.1,0.21,0,0,0,0,0.1,0.31
22Month,0.14,0.14,0.82,0.14,0.14,0.41,0.27,1.5,0,1.5,0.14,0.14,0.96,0.41,0.14,0,0,0.14,0,0,0.27
