stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.97,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0.56,0,0,0,0,25.37,0.85,0.28,0,0,0,0,0,0,0
21Day,0.74,0,0.37,0.37,0.37,0,0,0,0,0.74,0.74,0,0.74,0,1.48,0,0,0,0,18.87,0.74,0.37,1.48,0.74,0,0.74,0.37,0,0
3Month,0,0,0.1,0,0,0,0,0,1.66,0.21,0,0.1,0.31,0.1,0.21,0.1,0,0.1,0.1,0,0,0,0,0,0.1,0,0,0.1,0.21
22Month,0,0,0.68,0,0,0.27,0.14,0.55,4.78,0.27,0,0.96,0,0.27,0.27,0,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0
