stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.25,0.85,2.54,0.28,1.69,0,0,0,0,0.28,0,0.28,5.36,0.56,4.23,0,0,0,428.13,14.37,0.28,2.25,4.51,0.28,0,2.54,0,0.56,0.28,0,0
21Day,1.48,0,2.22,0,3.7,0,0,0.37,0,0.74,0.74,0,2.22,1.11,1.85,0,0,0.37,127.65,1.85,0,1.85,1.85,2.22,0,1.11,1.11,1.11,0.37,0,0.74
3Month,0,0,0.21,0.1,0,0.1,0,0.83,0.21,0,0.1,0.1,0.1,0.62,0.31,0.1,0,0,1.66,0,0.31,0.1,0,0,1.98,0,0,0,0,3.64,0.21
22Month,0.14,0.14,0,0,0,0.14,0.27,2.19,0,0,0.14,0,0,0.27,0.14,0.14,0.14,0.14,0.82,0,0.14,0.41,0.14,0,0.27,0,0,0,0,0.14,0
