stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.56,0,0,0,0,0.28,0
21Day,1.48,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,0
3Month,0.21,0.1,0.31,0.21,0.1,0.1,0.1,0,0,0.1,0,0,0.1,0.1
22Month,0,0,0.96,0.14,0,0,0,0,0,0,0,0,0,0
