stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,2.54,0.56,0,0,0,0,1.13,0.28,0,0,0,0
21Day,0,0.37,0,0,0,2.96,0,0,0,0.37,0,0.37,0,0,0,0,0
3Month,1.46,0,0.21,0.1,0.31,3.43,0,0.21,0.21,0,0.1,0.1,0.1,0,0.83,0.1,0.1
22Month,0,0,0,0.41,0,0.14,0,0,0,0,0,0,0,0,0,0,0
