stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.85,1.41,0,0,5.36
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,1.11,7.4
3Month,0,0,0.1,0.42,0.1,1.98,0.1,0,0.1,0.21,0.1,0.21,0.62,0,0.1,0.1,0.21,0.21,0.21,1.46
22Month,0,0.41,0.14,1.37,0,6.7,0.27,0.14,0.68,0,0,2.87,1.09,0.55,0.27,0.68,1.64,2.46,0.68,2.32
