stage,Endothelial_cell,Enterocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.56,0,0,0,1.97,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0
3Month,0.1,0.1,0,0.73,0.1,0.21,0,0.31,0.1,0,0,1.04,0.1,1.04,0.1
22Month,0,0,0.14,0.68,0,0,0,0,0.14,0.14,0,0.55,0,0,0
