stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.97,0.56,0.85,0,0.28,0.28,0,4.23,7.61,0,0,1.41,0,0,0.28,0,0,0
21Day,0.37,0,0,5.92,0.37,0,0,0,0,0,0,0,2.96,0.37,0.37,9.62,4.07,0.74,0,0,0.74,0,1.48,1.11,0,0,0.74,0.37,0,0,0,0,0
3Month,0,0.31,0.21,10.51,0,0.1,0.1,0.62,1.25,0,1.04,3.85,1.25,3.95,1.14,1.66,3.64,1.46,0.1,0,0.31,0.31,0.21,0,0.52,0,0,0.21,1.87,0.1,0.52,0.73,3.43
22Month,0.14,1.09,0.41,3.55,0,0.14,0.27,0.55,2.6,0.41,7.11,3.42,0.41,7.38,0.41,0.82,3.55,1.23,0,0.27,0.27,0,0.14,0,0.14,0.14,0.27,0,0.82,0,0.14,0,1.91
