stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0.28,0,1.13,0,0,2.25,0.85,0.85,0,0,0,0,0
21Day,1.11,0,19.61,0,0,0,0,0.37,0.37,0,3.7,0,1.48,0.37,0,0.37,0.74,0,0.37,0,0.37,0,0
3Month,0,0.1,10.82,0.1,0.31,0.52,0.62,0.21,0.21,0.73,0.31,1.14,0,0.21,0.1,0,0,0,0,0.21,0,0.21,0.1
22Month,0,0,4.78,0,0.14,1.64,0.41,0.27,0,0.27,0,1.09,0.14,0,0,0,0,0,0,0,0,0,0
