stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0,0,23.11,0.85,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0.37,0,0,0,0,0,0.74,0,0,0,0,0.74,0,14.8,1.11,0,0.37,0.74,0,0,0.37,1.48,0,0,0
3Month,0.1,0.42,0.1,0.94,0,0,0.1,0,3.33,0.21,0.42,0.52,0,0.52,0.31,0.31,0.1,0.83,0,0.83,0,0.1,0.42,0.1,0.1,0,0.1,0.21,0.31
22Month,0,0.14,0,0.68,0,0.14,0.41,0.27,13.25,0.27,0.14,0.96,0,0,0.82,0.82,0,0.68,0,0.68,0.41,0,0.96,0,0,0,0,0,0.27
