stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,2.54,0.56,0.56,0,0,0,0,0,0.28,0,2.54,2.25,0.85,0.85,0,0.28,0,0
21Day,0.74,0.37,0.37,0.37,0,0,0,0,0,0.37,1.85,0.74,1.11,0.37,0,0.74,0.37,0
3Month,0,0,0.1,0,0,0,0.21,0.21,0,0,0,0,0,0,0.1,0,0,0.21
22Month,0,0.14,0.14,0,0.14,0.27,1.37,0,0,0.27,0,0,0,0,0,0,0,0
