stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0.31,0.1,0.31,0,0,0,0,0,0,0.1,0.1,0.1,0.31,0
22Month,0.14,0.27,0.14,0.68,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0.14
