stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.41,0,0,1.41,2.25,0,0,1.69,0,0,0.28,2.82,3.95,0,0,0,0
21Day,0,0,0,1.11,0.37,1.11,0,0,0,0,0,0,0,0.37,0,1.48,0,1.48,0,0,0,0,0,0,0,0.37,0,0,5.18,23.31,0,0,0,0.37
3Month,0,0.21,0.21,2.5,0.1,0,0.1,0.1,0.31,0,2.91,0.73,0.1,1.14,0.1,2.81,0.52,0.1,0,0.52,0,0,0.1,0.1,0,0.21,1.98,0,0.1,0,0,0.31,0.21,0.31
22Month,0,0.27,0,0.14,0,0,0.14,0.27,0.96,0.41,4.1,0,0,1.09,0,0.27,0.41,0.14,0.14,0,0.14,0,0,0,0,0,0.55,0,0,0,0.14,0,0,0
