stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.56,0,0.85,11.84,0.85,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,1.11,3.33,1.11,0.37,0.37,0.74,0,0,0.37
3Month,0,0,0.1,0,0.21,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0
