stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell
72hpf,0,0,0,0,0.56,0.28,0,0
21Day,0,0,0,0.37,0.37,0,0,0
3Month,0.1,0.1,0.21,0,0.42,0,0.1,0.1
22Month,0,0,0.41,0,0,0,0,0
