stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,2.25,0,0.85,0,11.84,1.97,0,0,0,0.85,0,0,0.28,0.28,0,0,0
21Day,0,0.37,1.48,0.37,0.37,0,0,0,0,0,0,0.37,0.37,0,1.48,0,0.74,0,6.29,0.74,0,0,0,0.37,0,0.74,1.48,0,0,0,0
3Month,0,0.1,3.43,0.21,0,0.1,0.21,0.31,0,0.62,0.21,0,0.42,0.52,0.21,0,0.21,0.21,1.14,0.21,0.73,0.1,0,0,0.1,5.1,0,0,0.31,1.25,0.1
22Month,0,0.14,0.41,0,0,0,0,0,0.14,2.05,0,0,1.5,0,0,0.41,0.14,0.27,0.14,0,0.41,0,0.14,0,0,0.82,0.27,0,0,0,0.41
