stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,6,99,0,0,3,0,0,0,0,1,0,0,0
72hpf,1.41,0.28,0,1.13,0.28,0.28,0,0.28,0,0,0,0,0.56,0,1.41,2.25,0.56,4.23,0,0,0.28,42.84,23.39,0,0.28,3.38,0.56,0,2.54,0,0,0,0,0
21Day,1.85,0.74,0,4.44,0.37,2.59,0,0.37,0,0.74,0.74,0,4.81,0.37,0,2.22,1.11,11.47,0,0,1.11,12.95,9.62,0.37,0.37,2.22,0.37,0,1.48,0.37,0,0,0,1.85
3Month,0.1,0,0.1,3.64,0,0,0.21,0,0.52,0.42,3.33,0.94,0.21,1.25,0.1,1.35,0.62,2.08,0.62,0.1,0.21,0.31,0,0.42,0.1,0.1,0.1,1.66,0.21,0,0,0.42,0.62,1.87
22Month,0.14,0.14,0.14,0.68,0,0,0.14,0,0.27,0.14,3.28,0.27,0.27,1.23,0,0,0.41,1.23,0,0.14,0.41,0.41,0,0.27,0.14,0,0,0,0,0,0,0,0,0.14
