stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,3.1,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0.28,1.97,0,0,0.56,0,0,0,0,0,0,0
21Day,1.48,0.37,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0,16.28,0,0.37,0,0.37,0.37,0.74,0.74,0,0,0
3Month,1.87,0.21,0,0.1,0.1,0,0.52,0.1,0.1,0,0,1.35,0.21,0.1,0.1,0,0,0,0,0,2.08,0,0,0.21,0.1,1.87
22Month,0.96,0,0,0,0.14,0.14,1.91,0,0,0,0,0.68,0.14,0,0,0,0,0,0,0,0.27,0,0,0,0,0
