stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0,0
3Month,0.21,0.1,0,0.21,0.21,0.21,0.1,0,0.94,0.1
22Month,0,0,0.68,0.14,0,0,0.14,0,0.27,0
