stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,1.13,0,0,0.28,0,0,0.85,0,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0.37,0,1.48,0,1.11,2.96,0,0,4.44,0,0,0,0.37,0,0.37,0,0,0.37,0,0,1.85
3Month,0,0.1,0.21,0.1,0,0,7.18,1.46,6.66,0.62,0.21,0.1,2.18,0.31,0,0.1,0,0,0.1,0.1,0,0,0.21,0.31,3.02
22Month,0,0.14,0.14,0.14,0.14,0.14,9.98,1.64,4.92,0.68,0.27,0,3.83,0.55,0.14,0,0,0.14,0,0,0,0,0,0,0.96
