stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.85,0,0,1.13,0,38.05,6.76,0,0.28,9.86,0,0,1.13,0.28,0,0,0
21Day,0,0,0.74,0.74,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,0,2.59,0,0,1.48,0,14.06,2.59,0,0.37,10.73,0.74,0.37,1.48,0.37,0,0,0
3Month,1.04,0.31,4.06,0.31,0,0.1,0.1,0.31,1.35,0.31,0,2.81,0.42,0.21,1.35,0.52,1.35,1.04,6.97,0.83,0,0.62,1.87,1.04,0.21,1.04,0.1,2.18,0,7.91,0.42,0.94,0.1,8.01,0.62
22Month,1.91,0.55,2.32,0.14,0,0.14,0,0,0.41,0.41,0.96,16.81,0.27,0.27,7.11,0.41,0,0.82,5.06,0.14,0.27,0.27,1.09,0.96,0,0.68,0.27,1.23,0,3.83,0.55,0,0,0,0.41
