stage,Endothelial_cell,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,T_cell
21Day,0,0,0.74,0,0,0,1.48,0,0,0.37,0,0.37
3Month,0,0,0,0.21,0,0,0.1,0,1.35,0,0,0
22Month,0.14,0.14,0,0.14,0.27,0.27,0.14,0.14,0,0,0.27,0
