stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,0,0.28,0,0,0.85,2.54,0
21Day,0.37,0.37,0.74,0.37,0,0.37,0,0,0,0,0,0,1.11,0.37,0,1.11,0,0.74,2.59,1.85,5.18,0.37
3Month,0,0.73,0,0.83,0.1,0.21,0.52,0.1,0.21,0.21,0.1,0.1,0,0,0,1.14,0,0.1,0,0,0.1,0.83
22Month,0,0,0,0.96,1.09,0.14,0,0,0,0.41,0,0,0,0,0.14,0,0,0.14,0.55,0,0.14,0.55
