stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.41,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,0,4.23,0.28,0,0,0,0.28,0.28,0,0,0,0
21Day,0,0.74,1.11,0,0,0,0,0,0,0,0.37,0,0,0,0.74,0,0,1.85,0,0,0,0,1.48,0,0,0,0,0
3Month,0,1.66,0.83,0,0.21,0.1,0,1.77,1.14,0,0.73,0.1,0.94,0.31,0.31,0,0.21,0.42,0.1,1.35,0,0.21,17.27,0,0.1,0.1,1.56,0.21
22Month,0.14,1.09,0.41,0.14,0,0.14,0.14,5.19,0.41,0.14,1.09,0,0.55,0.27,0.41,0.14,0,0.14,0,2.05,1.09,0,11.89,0,0,0,0,0
