stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0.56,1.41,0.28,0,0,0,0,0,0,0,0.28,5.07,0,0.56,0,0,0,0,2.54,1.69,0,0,0,1.41,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,2.22,2.59,0,0,0,0,0,0.37,1.11,0,0.37,1.11,1.48,0,0,0,0,0,0.74,0.74,0,0,0,0.74,0.37,0.74,0,0,0,0,0,0
3Month,0,0.42,0.1,6.97,0.62,0,0.31,1.66,0,6.14,1.25,0.1,2.6,1.25,2.29,1.46,2.08,0.52,0.21,0.62,0.62,0.21,0.1,0.42,0.42,0,0,1.04,6.35,0.21,0.1,0,0.73,265.87,0.73
22Month,0,0,0,0.14,0,0,0,0.27,0.14,0.68,0,0.27,0,0,0.14,0.14,0.14,0,0.14,0,0,0,0,0,0,0.96,0,0,0.14,0,0,0,0,0.41,0.14
