stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,1.13,0,0.28,0,0,2.54,2.82,0,0,0.28,0.28,0,0.28,0,0,0,0
21Day,1.11,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0.37,1.11,1.11,0,0,0,0,0.74,0.37,0.37,0,1.48,0.37,0.37,0,0,0,0,0.37
3Month,0,0.1,0,5.3,0.1,0.21,0,0.94,0.62,0,6.24,0.21,0.31,1.56,0.73,1.77,4.47,0.42,0.31,0.1,1.46,0.42,0.21,0.31,0,0,0.1,0.21,0.62,0,0,0.21,0.21,0.94
22Month,0,0,0.82,3.42,0,0,0.14,0.68,1.91,1.37,19.13,0.14,0.55,5.47,0.41,0.82,4.51,1.78,0,0.41,0.27,0,0.14,0,0.27,0.14,0,0,2.73,0,0.14,0,0,1.37
