stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0,0,0,0,0,0,0,0,7.33,0,0,1.41,0,0,7.33,0,0,0.28,0,0,0
21Day,1.11,0,0,0.74,0.37,0,0,0,0,0,0,0,0,9.25,0,0.37,0,0,0.37,15.17,0.74,0,0,0,0,0
3Month,0,0.1,0.1,0.62,0,0.1,0.52,0,3.54,0.31,0.73,0.31,0.1,0.21,0.1,0,0,0.21,0,0,0.1,1.46,0,0.1,0.94,0.1
22Month,0,0,0,0.14,0,0.14,0.14,0.27,6.15,0.14,0.82,0.14,0.27,0.41,0,0,0,0.14,0,0,0,0.41,0,0,0,0.27
