stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0
72hpf,1.13,0,1.13,0,0,0,0,0,1.69,0,1.97,0,1.69,0.28,0,2.25,0,0.28,0
21Day,12.21,0,0,0.37,0,0,0,0,0,0.37,5.55,0,0.37,0.37,0,0.74,0,0,0
3Month,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0.1,0.21,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0,0.14,0.27,0.55,0.27,0,0,0.55,0,0,0,0.41,0,0.55,0,0
