stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,19.24,1.48,0,0,0,0,0,0,0,0,0.74,38.11,0.37,0.37,0,0,1.85,0.74,0,0,0.74,0.37,0,0,0,0,0,0
3Month,0.21,0.1,34.33,0,0.21,0.21,0.31,0,4.26,0.83,0,2.18,0.1,10.4,1.35,0.73,0.62,0.21,0,0,0.21,0.21,0.1,0.42,0.52,0.1,0,0.42,0.21,1.14
22Month,0.27,0.14,5.88,0,0,0.41,1.23,0.14,16.26,0.55,0.41,4.37,0,3.55,1.23,1.09,0,0,0.14,0,0,0.41,0,0.27,0.27,0,0.14,0,0,0.68
