stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,9.86,0.85,0.28,0,0,0,0,0,0,0,0,0,1.13,8.17,0.28,0.56,0,0,0,3.95,1.41,1.13,0,0.56,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,24.79,0,0.74,0,0.37,0,0,0,0,0.37,0,0.37,0,0.37,0,1.11,0,0,0,2.22,1.11,1.11,0,0,0.74,0,0,0.37,0,0,0,0.37
3Month,0,0.21,0,8.53,0.1,0,0,0,0.1,0.1,0,2.6,0.73,0,0.83,0.21,0.42,0.62,0.21,0.1,0,0.1,0,0,0.73,0.21,0,0.1,0.21,0,0,0.1,0.21,0.1,0.21
22Month,0.14,0.55,0.14,5.74,0,0,0.41,0,0.27,40.86,0.27,12.03,18.58,0.27,0.82,0.27,0.41,13.8,1.23,0,0.27,0.41,0.27,0.14,1.64,0,0.27,0.14,0.27,0.14,0,0,0,0,0.82
