stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,9.58,2.54,0,0.85,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0.37,0,0,1.48,0,0,0,3.7,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.1,0.94,0.21,0.21,0,1.14,0.21,0,2.81,0,0.42,0.21,0.1,0.1,0.21,1.77,0,0.31,0,0,13.73,0.21,16.33,0.42
22Month,0,0,0.14,0,0.55,0.14,3.01,0,0.14,3.14,0.14,0,0,0,0,0,1.09,0,0,0,0.14,11.89,0,0.14,0.14
