stage,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0,0
3Month,0,0,0,0.1,0,0.21,0.1,0.1,0.1,0,0.1,0,0.21
22Month,0.14,0.14,0.14,0.14,0,0,0,0.27,0,0,0,0.14,0
