stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0.85,0.28,0,0,0,0,0,0.28,0,0,0,0.28,0,0.56,2.82,3.38,0.28,0,0,0,1.13,0.56,0,0,0,0.28,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0.37,0,9.99,1.11,0.74,0,0.37,0,0,0.74,0,0,0.74,5.18,1.11,0.74,9.99,9.62,3.33,0,0.37,0,1.48,0.74,0,0,0,1.48,0,0,0,0,0.37,0,0,0,1.48
3Month,0,0.42,0.1,14.56,0,0,0.1,0,0.1,1.14,2.91,0,6.45,4.99,0.62,2.6,0.42,2.7,17.06,1.87,0.42,0.62,0,0.21,0,0.42,0.1,0,0,0.42,0.1,0.62,0,0,0.1,0.42,0.42,1.14
22Month,0.14,0.55,0.27,10.8,0,0,0.27,0.14,0,1.23,8.61,0.68,20.22,5.74,0.82,4.92,0,0.55,13.25,3.01,0,0.27,0.14,0,0,0.14,0.14,0.14,0,0,0,0.27,0.14,0,0,0,0,0.41
