stage,Endothelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
72hpf,0,0,0.28,0,0,3.66,0.28,0,0
21Day,0,0.37,0,0,0.37,3.7,0,0.37,0
3Month,0.1,0,0,0.1,0,0,0,0,0.1
