stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,11.27,0,3.38,0.56,0.56,0,0,0,0,0,0,0,1.13,1.13,0.28,23.11,0,0.56,0,6.76,8.17,0,0,10.99,0,0,9.58,0.28,0,0,0,0
21Day,1.11,14.43,0.37,6.29,0.74,0.74,0,0.37,0,0,0.37,0.37,0.74,0,2.22,1.48,41.81,0,2.59,0,3.33,2.59,0,0.37,19.24,1.48,0,3.33,0,1.11,0.37,0,0
3Month,0,9.15,0,2.5,0,0,0.31,0.52,0,2.91,0.1,0,0.31,0.1,4.26,0.62,5.93,3.33,1.25,0.21,0.31,0,0.1,0.1,0,0.1,0.62,0.1,0,0,0.42,0.21,0.1
22Month,0,16.12,0.27,0.41,0,0,0.27,0.55,5.6,5.19,0.68,0.41,0.41,0,0.41,1.5,4.37,0.55,0.82,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0
