stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,8.46,1.13,0.28,0,0,0,0,3.1,1.97,0,0,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0.74,0,1.11,22.57,0,0.74,0,1.48,0,0,0.37,0,0,1.11,0.74,7.03,0.37,2.96,18.87,7.4,5.55,0,0,0.74,0,2.22,1.11,0,0,0,0.37,0,0,0,0,0,0,0,5.55
3Month,0.52,4.89,6.35,93.1,0.62,0,0.94,0.42,0.1,35.47,14.15,0.21,0,134.81,19.56,4.99,55.23,11.34,24.65,37.97,9.99,1.25,0,12.48,8.22,2.6,0.31,3.02,0.31,0,0.42,3.43,0.21,3.74,0.1,0.1,5.3,2.29,26.32
22Month,1.09,12.03,6.97,42.77,0.41,0,0.96,1.23,0,20.09,28.7,5.19,0,218.64,11.34,14.35,52.75,2.32,11.89,42.36,12.98,0.41,3.42,9.16,0.68,1.64,0.27,4.37,0.68,0.55,0.82,1.37,0,8.34,0.82,0,2.87,0,12.57
