stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0.56,0,0,0,0,0,0,0.28,0,0.28,0.85,0,0.28,0,0,12.4,2.25,0,0,0.56,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0.74,0.37,1.48,0,0,0,0.37,0.37,0.74,0.37,0,0.37,0,2.96,0,0,9.25,2.59,0,0.37,0,0.74,0,0.37,0,0,0,0
3Month,0.1,0.1,1.46,0,0.1,0.1,0.21,0,0.94,0,0.31,0.42,0.21,0.52,0.21,0.62,0.21,0.21,0.31,0,0.21,0,0.1,0,4.68,0,0,0.52,2.81,0.31
22Month,0,0.14,0.82,0,0.14,0.14,0.14,0.14,1.23,0.14,0.14,0,0,0,0.41,0.27,0.27,0,0,0,0,0,0,0,0.68,0.14,0,0,0,0.27
