stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,1,0,0,1,1,2,0,23,1,0,0,0
72hpf,0,0.28,0,0,0,0,1.41,0.28,1.13,0.85,0.28,0.28,0
21Day,0.37,1.85,2.96,1.48,0,0,0.74,1.48,1.48,0.37,0,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
