stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,7,1,0,9,0,0,0,3,0,0,0,0,2,1,5,18,0,0,2,7,52,2,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0.28,0,0,0,3.95,3.1,0.56,0,0,0,0,0
21Day,0,0,0,0.74,4.81,0.74,0,0,0,0,0.74,0,0,0.37,0.37,0.37,0,0,0,2.22,1.85,0,0.37,0,1.11,0,0
3Month,0,0,0.1,0.21,0,0,0,0,1.04,0.21,0,0.1,0,0.42,0.1,0,0,0,0,0,0,0,0,0.31,0,0.1,0.31
22Month,0.14,0,0.14,0.14,0,0,0.14,0,1.37,0,0,0.14,0,0,0.27,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0
