stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,2,0
72hpf,0,0,0,0,0,0.28,0,0,0.28,0
21Day,0,0,0.37,0,0.37,0,0.37,0.37,1.11,0
3Month,0.1,0.21,0,0.1,0,0,0.1,0,0,0.1
22Month,0,0,0,0,0,0,0,0,0,0.27
