stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,1.13,0.56,0,0,0,0,0,0,0,1.41,1.97,0,0.85,0,0,0.85,33.26,1.69,1.97,0,0,0,0,0,0,0,0,0
21Day,0.74,0,0,0.74,0,0.37,0,0,0,0,0,0,0,1.11,0,0.37,2.96,0,0,0.37,9.62,0.37,0.74,0,0.37,0,0.74,0.74,0,0,0,0
3Month,0,0.21,0,2.5,0,0,0,0,0,0.52,2.39,0.31,1.14,0.73,0.83,0.62,1.14,0.1,0,0.21,0,0,2.91,0,0.1,3.74,0.21,0,0.1,0.1,1.77,0.31
22Month,0,0.27,0.14,2.19,0,0,0.14,0.55,0.82,0.55,12.98,0.41,1.37,0,0.27,0.68,1.64,0,0.68,0.14,0.82,0.14,8.47,0.14,0,6.29,0.27,0,0.14,0.14,0,0.41
