stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,1,0,0,0,0
72hpf,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,1.41,6.2,0,0.28,0,0,1.13,0,0.56,0.28,0,0
21Day,0.37,0,0.37,15.54,1.11,0.37,0,0.37,0.74,0,0,0,0,0,0,4.44,1.48,5.92,1.11,0.74,0.37,0,0.74,0,0,0.74,0,0.37
3Month,0,0.1,0,3.33,0,0,0.21,0,0.42,0.1,0,0,0.73,0.1,0,1.66,0.1,1.56,0,0.1,0.1,0.21,0,0,0,0,0.31,0.52
22Month,0,0,0,1.09,0.14,0,0,0,0.68,0.41,0.14,0,5.33,0,0.27,3.55,0.14,0.27,0.82,0.41,0,0.14,0,0,0.14,0.27,0,0.14
