stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
72hpf,0,0,0.56,0.56,0,0,0,0,0,0,0.85,0.28,0.85,25.65,1.13,1.41,0,0,0,0,0
21Day,0,0,2.22,0.74,0.37,0,0,0,0,0,0.37,0.37,1.48,5.18,0.74,0,0.37,1.11,0,0,0
3Month,0.21,0,2.29,0,0,0,0.1,0,0.42,0.1,1.14,0.1,0,0,0,0,0,9.67,0.1,0.1,2.5
22Month,0,0.14,0,0,0,0.14,0,0.14,0,0,0,0,0.14,0,0,0.14,0,0.68,0,0,0
