stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0
3Month,0.1,0.1,0.1,0.42,0.1,0,3.74,0.21,1.14,0.1,0.1,0,0,0.1,0,0,0.1,0.1,1.56,0,0.1,5.82,0.1
22Month,0,0,0,0,0,0,4.1,0,2.32,0,0.14,0.14,0.14,0,0,0,0,0.27,0,0.14,0,0,0
