stage,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0.28,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37
3Month,1.35,0.1,0.21,0.21,0.62,0.21,0.73,0.1,0,0.1,0.42,0.1,0.1,0,0,0.1,0.1,0,0.42,0,0,0.21,0.1,0.21
22Month,0.14,0,0.14,0.27,0.27,0,0.14,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.14
