stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0.37,0.37,0,0,0,1.11,0,0.74,0.37,0,0,0.37
3Month,0,0.1,0.42,0,0,0.1,0.21,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,1.04,0.1,0.31
22Month,0,0.14,0.14,0.14,0.14,0,4.24,0,0.55,0.14,0.27,0.14,0,0.14,0,0.14,0,0,2.73,0,0
