stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0,1.48
3Month,0,0.31,0.1,0.1,0.62,0,0.62,0.21,0.1,0,0,0,0.42,0.73,4.47,3.54
22Month,0.14,0.27,0,0.68,1.5,0.27,0.41,0.27,0.68,0.14,0,0,0.14,1.91,0,2.87
