stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.69,0.28,0,0,0,0,0,0,0,0,43.69,0,0.56,0,0.28,0,1.97,1.13,0.56,0,0,0.56,0,0,0
21Day,0,9.62,0.37,0,0,0,0.74,0,0,0.37,0.74,4.44,0.37,0.37,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0
3Month,0,6.76,0,0,0.21,0.1,26.21,0.21,0,0.31,0,0.52,0.1,0,0.1,0.31,0.1,0.1,0,0,0.31,0.1,0,0.21,0.1,0.1
22Month,0.14,1.64,0,0.14,0,0.27,33.75,0,0.14,0.27,0.14,0.14,0.41,0.41,0,1.64,0,0.14,0,0,0.14,0.27,0,0,0,0
