stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,10,0,0,2,0,0,0,2,2,120,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.56,0,0,3.1,9.3,0.56,0,0,0,0,0,0,0,0,0,0,1.97,0,1.69,0,0,0,0.28,22.55,11.56,0.85,0,1.97,0,0,0,8.17,0,0,1.13,0,0,0
21Day,3.33,1.85,0.37,4.81,4.07,1.11,0,0,0,0,0,0,0,0.74,0,0.74,1.48,1.11,1.85,0,0,0,0,7.4,5.92,0.74,0,0.74,0.74,0,0,2.22,0,0.37,0.74,0,0,0.37
3Month,0,1.56,1.25,44,0.73,0,0.31,0.31,0.94,2.39,0,10.19,3.33,0.52,2.6,6.97,2.18,3.43,1.77,0.42,0.1,0.94,2.81,13.63,0,4.47,0,0,1.77,0.1,5.82,0.31,0.1,0,0.83,0.83,326.2,2.6
22Month,0,1.09,0.14,13.25,0.55,0,0,0,0.14,0.96,0,3.55,0.41,0.14,0.41,0.68,0.41,0.96,0.68,0,0.14,0.14,0.68,3.14,0.27,1.09,0.14,0,0,0,0.55,0.14,0,0,0.27,0,0.55,0.27
