stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,1,0,6,1,0,0,0,0,0,1,0,0,0,0,3,3,4,22,0,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.95,1.41,0,2.25,2.54,0.85,0,0,0,0,0,0,0,0,0,4.51,11.27,1.13,13.81,0,0.56,1.13,0,56.93,33.26,0,1.69,7.61,0,0,0,1.69,1.13,0.56,1.69,0,0,0
21Day,2.96,0,0.37,9.25,1.11,1.11,0,0,0,0.37,0,1.48,0.74,0.37,1.85,1.85,4.07,1.85,11.84,0,0,2.22,0.37,20.35,11.47,0,0.74,6.29,2.22,0,0,1.11,1.11,2.22,0.37,0.74,0,0.74
3Month,0.21,1.46,2.08,15.81,0.62,0,0.31,1.14,1.46,0.1,0,69.17,18.52,0,10.92,4.99,3.95,1.87,3.74,0.42,0.21,2.81,4.78,1.25,0.62,1.35,1.04,0.42,1.46,0.1,4.89,0.21,0,0,0.31,4.37,0.42,1.56
22Month,0.14,4.24,1.37,12.85,0.41,0,0.27,0.96,1.78,3.42,0,82.54,6.42,0.55,7.93,0.55,1.23,6.83,2.32,0.14,2.32,1.5,0.14,0.96,0.14,0.82,0.55,0.27,0.14,0,1.91,0.41,0.96,0,0.27,0.96,0,2.46
