stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,3,0
72hpf,0.28,0,0,0,0.28,1.41,0.85,0.56
21Day,0,0.37,0,0,0,0,0,0
22Month,0,0,0.41,0.27,0,0,0,0
