stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0
21Day,0.37,0,0.37,0,0,0,0.37,0,0,5.55,0.74,0.37,0,0,0
3Month,0.21,0.1,0,0.1,0,0.21,0,1.04,0,0,0.21,0,0,0,0.21
22Month,0.55,0,0,0.27,0.14,0.41,0,0.96,0.14,0,0.27,0.27,0,0.14,0.55
