stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,1,6,9,114,0,0,0,0,0,0,0,0,0,0
72hpf,2.82,1.13,0.85,0.85,0.28,0,0,0,0,0.28,1.97,0.28,2.82,125.14,70.74,0.28,0,2.54,0,0,8.17,0.28,0.28,0.28,0
21Day,0,0,0,0,0,0,0.37,6.66,0.37,0,0.74,0,0.74,17.02,5.92,0.74,0.37,0,0.37,0,0,0,0,0.37,0.37
3Month,0,0,0,0,0.1,0.1,0.31,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0.1
