stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,17,2,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0,0,0.56,23.68,0,0,0,0,1.13,1.13,0,0.28,0,0,0.28,0
21Day,0.37,0,11.47,0,0.37,0,0,0,0.74,0,1.85,15.91,0,1.11,0,0,1.11,0,0.37,0,0.37,0,0,0
3Month,0,0.1,2.18,0,0,0.1,0,0.83,0,0.1,0,0.42,0.1,0.31,0,0.31,0,0,0.1,0,0,1.04,0,0.21
22Month,0,0,0.41,0,0,0,0.14,1.78,0,0,0,0,0.14,0.14,0.27,0,0,0,0,0,0,0.27,0,0
