stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,0.28,0,0.56,2.25,0,0,0,0,0.28,0,0,0,0,0.28,0,0.85,4.23,0.56,1.69,0,0.28,0,0.28,5.92,3.38,0,0,2.82,0.28,0,1.13,0,0.28,0,0,0
21Day,0,0.37,0.37,2.22,3.7,0,0.74,0,0.37,0,0,0,0.37,0,2.22,1.85,0.74,1.48,2.59,2.59,0,0,0,0,4.07,3.7,0,0,2.22,0.37,0,0.74,0,0,0,0,0.74
3Month,0.21,0.52,0.42,8.84,0,0.21,0.1,0.1,1.98,2.6,0,0,66.15,6.03,0.31,12.17,0.52,3.22,3.54,4.06,0.31,0,1.35,1.25,0.31,0.1,0.31,0.52,0.31,1.46,2.7,0.1,0,0,0.83,2.5,1.46
22Month,0.14,0.14,0,2.46,0,0.41,0,0,0.41,2.73,0.27,0,76.52,2.73,0.27,7.11,0.14,0.41,2.05,2.6,0,0.96,0.41,0,0,0,0.14,0,0,0.41,0.55,0,0.14,0,0,0,0.55
