stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,0.28,0,0,0,0,0,0,0,0,0.56,1.69,0,0.56,0,0,0.28,0,11.27,3.66,0,0,1.41,0,0,0.28,0.28,0.56,0.28,0,0,0
21Day,0,0,0.74,0.37,0.37,0,0.37,0,0,0,0.37,0,0,0.37,1.11,0.74,0,0,0,0,4.81,0.74,0,0,0.74,0,0,0.37,0.37,1.11,0,0,0,0.37
3Month,0,0.73,3.74,0,0,0.52,2.5,0,5.1,0.83,0.21,0.83,0.1,1.66,2.29,2.08,0.31,0,0.42,0.21,0.31,0.1,0.21,0.21,0,0.1,6.45,0,0,0,0,0.83,9.67,1.14
22Month,0,0.27,1.09,0,0,0,0.96,0.68,4.1,0.68,0.14,0.14,0,0.68,1.37,0.41,0,0.14,0.41,0,0,0,0.41,0,0,0,0.96,0.27,0,0,0,0.14,0,0.96
