stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.82,0,0,0,0,0,0,0,0,0,0.28,7.89,0,0.56,0,2.25,0,0,0.56,1.97,0,0,0,0.28,0.28,0,0,0,0,0
21Day,0,0,0.37,9.25,0,0,0,0,0,7.4,0,0,0.37,0.37,2.96,0.37,0.74,0,0.37,0,0,2.22,2.22,0,0,0,0.37,0.37,0,0,0.37,0,0
3Month,0,0.31,0.21,3.02,0.1,0.1,0.52,0.62,0.1,87.89,0.73,0.21,0.73,0.73,1.87,1.04,0.94,0.1,0.42,0.62,1.35,0,0.1,0.1,0.1,0,0,1.87,0.42,0,0,0.1,0.52
22Month,0.27,0.14,0.41,2.19,0.55,0,2.46,1.37,1.09,132.55,0.27,0.14,0.41,0.14,0.68,0.68,1.09,0.27,4.37,0.14,0.14,0.14,0,0.41,0,0.14,0,0.27,0,0.14,0,0,0.41
