stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0,9.99,1.11,0,0.37,0,0.37,0.37,0,8.51,0,0.74,2.59,0.37,0.74,0,0.74,0,0.74,0.37,0,0,0.37,0,0.37,0,0,8.14
3Month,0,16.75,0,0.21,0,0.42,0.83,1.04,0.31,1.35,0.31,0.42,0.52,3.22,0.31,0,0.1,0.1,0,0,0,0,0.42,0.31,0,2.5,0.21,3.33
22Month,0.41,14.62,0,0,0,0,1.37,0.82,0.27,0.68,2.32,0,0.14,1.5,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0.27,0,0.41
