stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0,0,0.56,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.85,0,0,1.85,0,0,0.37,0,0,0,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.31,0,0.1,1.14,0,0.1,0.1,2.81,0.42,0,0.21,0.52,0.31,0.31,0.21,0.1,0.21,0.1,0.1,0.1,0.1,0.42,0,0.1,0.1,0.1
22Month,0,0.14,0,0.55,0.14,0.14,0.41,9.84,0.27,0.14,0.68,0,0.68,0.68,0,0,0.14,0,0.14,0,0,0.14,0.14,0,0,0.14
