stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,1,3,5,0,0
72hpf,0.56,0,0,0,0.56,6.76,1.41,0.28,0.56
21Day,0.37,0.74,0.37,0.37,1.48,2.96,1.48,1.48,0
