stage,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,2.25,0.85
21Day,0,0,0,0,0,0.74,0
22Month,0.14,0.55,0.27,0.14,0.14,0,0
