stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,7.33,1.97,0,7.89,2.25,12.12,0.56,0,0,0,0,0.28,0,3.38,17.47,1.13,29.31,1.13,0,0.28,98.08,42.56,0.56,22.83,0,0,7.33,0.85,0.28,2.25,0,0
21Day,7.4,1.85,0.74,25.16,1.11,12.58,1.48,0.37,1.85,5.92,0.37,6.66,4.07,1.11,15.17,4.44,42.18,0,4.81,0.37,27.01,14.8,0.37,9.62,6.29,0.74,3.7,1.48,4.07,2.22,0.37,4.07
