stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,1.97,0,0,0,9.3,1.69,0,0,1.13,0,0,0.28,0,0,0,0
21Day,0.37,0,0,1.11,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,5.18,0,0,0,4.07,0.37,0,0,0.74,0,0,0.37,0.37,0,0,0
3Month,0,0.42,0.21,3.12,0.1,0.1,0.31,0.1,0,0,2.7,0.31,0,0.42,0.31,3.22,0.1,1.46,0.31,0,0.31,0.1,0,0.21,0.1,0,0.1,0.42,0.1,0,0.1,0.1,0.1
22Month,0.41,0,0,0.55,0,0,0,0,0.14,0,3.42,0,0,0.14,0,0.27,0,0.41,0,0.41,0,0,0.14,0.14,0.14,0,0,0,0.14,0,0,0,0
